xValue,yValue
0,98.41452934653279
1,98.52111292244821
2,97.64469540541819
3,97.47454583542195
4,98.2290568454182
5,98.70745289597181
6,98.23493710229478
7,98.06336455587768
8,97.77969966562621
9,96.95748223565575
10,96.54704768059673
11,95.88196593537599
12,95.20168311211022
13,96.10364704419709
14,96.3090515753057
15,97.10526621754059
16,96.59252919866454
17,97.43609654973481
18,97.16218040957797
19,98.14084902491224
20,97.62778616412076
21,98.02418317466467
22,97.6518446098063
23,97.2963231522032
24,96.40050062237214
25,96.60384142176366
26,95.61975310290347
27,95.0111296463261
28,94.36377575339189
29,94.36420263930395
30,93.56130309430182
31,94.07034766539174
32,93.95859294523933
33,94.38856343973454
34,93.59231781858689
35,93.59530803205828
36,94.36097392996535
37,95.25569554782518
38,95.56993199344693
39,94.61975392785153
40,94.7951793928923
41,94.92856862577834
42,94.50266597662468
43,93.54492142651651
44,92.57619807538488
45,93.47247622755748
46,92.90336841211298
47,93.64820437980048
48,94.32251341493215
49,95.05213148107846
50,96.04984704188092
51,95.35614959497498
52,94.95569856373413
53,95.16884956327786
54,95.35315326868043
55,95.08166712939118
56,95.59786266097203
57,96.58091672548508
58,95.66280783226354
59,95.44571641642551
60,94.89771593386962
61,95.40290300689195
62,94.59623245329198
63,94.06206311302714
64,94.94811281957966
65,94.40683481545416
66,94.8998447532252
67,94.58411158042065
68,94.97553697576373
69,95.82952310607645
70,95.0325927650764
71,95.32015072000125
72,95.25943810029123
73,95.06580369628428
74,95.80742422055914
75,95.76903762793111
76,96.6573141259928
77,97.39104102179395
78,98.0089091693616
79,98.0413966624849
80,97.33439203981455
81,97.08485224256839
82,97.30954896967681
83,97.76242590006365
84,97.09867759497995
85,96.13988808354046
86,95.62256683028602
87,94.96473397655983
88,94.07715099199778
89,93.68625555328762
90,93.44747299510452
91,93.09864104072392
92,93.922054417173
93,94.11915076529903
94,94.52172864507754
95,94.97438363249623
96,94.51155064680104
97,94.09451930228978
98,95.07668569318518
99,94.80939374655026
100,94.39872896514196
101,95.3458701306348
102,95.217294101272
103,95.72511845670391
104,95.82134521240658
105,95.61305853674023
106,95.03614785705912
107,94.57548655238001
108,94.62120523034085
109,94.57991251180896
110,94.0395905056599
111,94.88846534861229
112,94.29123050079562
113,93.85240202781523
114,94.52557265302991
115,94.51316655514513
116,94.32073396803783
117,93.87030866924206
118,93.1883126255769
119,93.45487955295253
120,93.05555869078188
121,92.98180085927555
122,92.94341822291135
123,93.02144082841052
124,93.44131706267814
125,93.6504124420631
126,93.7989466951814
127,94.32537749673739
128,93.87404837950878
129,93.28007827955088
130,92.90436185541375
131,92.63001174503886
132,93.19399107095724
133,93.27655587423106
134,94.19600829419541
135,93.48834254641781
136,93.12993196794282
137,92.61096530524047
138,93.28398330668449
139,93.70361886937866
140,94.45993267103697
141,93.75195252559053
142,93.84292106646379
143,92.84475339107286
144,92.62003412608908
145,93.01983304115424
146,92.68634194192033
147,92.9031340358417
148,93.07846853305564
149,93.81203003132254
150,94.5250766253626
151,93.69033495123846
152,93.8194806860581
153,93.89305619809636
154,93.44196149306975
155,93.25038713835313
156,92.58535118766036
157,93.14015504671157
158,93.70129949507911
159,94.2968125450569
160,93.89067490260047
161,93.05464821832997
162,92.22449814807288
163,92.57062365501746
164,93.44712434589259
165,93.5569777915051
166,93.79054741744223
167,94.72345996584416
168,94.94226569261447
169,95.60215665961002
170,94.69495711767601
171,93.97345076901414
172,94.42006243772883
173,94.87975964923395
174,94.36461177333352
175,94.22846452055431
176,95.14703223980226
177,95.15635965730966
178,95.47844429458812
179,95.4267416301292
180,96.1053795907043
181,96.55962857784559
182,96.44965763967107
183,96.4821854009395
184,97.3468635678214
185,97.35598451520077
186,97.61461245324021
187,96.98979011410222
188,96.50628663706972
189,97.29172939517173
190,97.05510533897547
191,96.54736573726504
192,97.54036263976717
193,96.55980442338684
194,95.76405568621524
195,95.21616553111055
196,95.51552116061026
197,95.99485276102928
198,95.23701094483339
199,94.94229673833492
200,94.07386920882658
201,94.0746933754547
202,93.86969965828364
203,93.74680025426427
204,92.78313095582043
205,91.85770840527155
206,91.45919728617801
207,90.75070758753748
208,90.24193962739523
209,89.74160210905137
210,88.92875924174213
211,88.50363684642939
212,89.23457285746585
213,88.71178185345312
214,87.78293163952183
215,86.90961169286821
216,87.66563391339317
217,87.56645216915248
218,86.79674748081132
219,87.6313601427829
220,87.161450834783
221,87.06313710954991
222,87.4887329666081
223,86.91015210458158
224,87.41550370854199
225,87.20975101659124
226,86.33178021811058
227,86.62864983297186
228,87.19506676342158
229,87.97517896565175
230,88.35928521710741
231,88.49989107299598
232,87.85546968139363
233,87.73615245638089
234,88.02493179863897
235,87.94980175648553
236,88.77883396453849
237,87.93320370853199
238,87.39227530226337
239,87.60939131287662
240,87.2786052729579
241,88.13470492300853
